model,horizon,type,avg_sMAPE,std_sMAPE,avg_MAE,avg_RMSE,n_folds,n_series,n_features
Simple_naive,6,baseline_cv,9.902484543226258,10.78421306073818,309.14671111111113,352.48269706320156,3,50.0,
Simple_seasonalnaive,6,baseline_cv,13.953629922518205,12.42083327733751,436.56457222222224,486.71665865833853,3,50.0,
Simple_autotheta,6,baseline_cv,8.41628616450246,9.409518103444082,254.87347318916088,295.0940747428141,3,50.0,
Simple_autoets,6,baseline_cv,8.551932596886756,11.382714178445116,250.58809125037152,292.3418518103448,3,50.0,
CatBoost_lags_only,6,ml_cv,6.215515038160931,1.208939973748988,176.12987518927991,288.44277996864395,3,,19.0
CatBoost_lags_calendar,6,ml_cv,5.90466184021943,0.9154903873067753,172.6470665566069,278.82174814184253,3,,25.0
CatBoost_lags_fourier,6,ml_cv,6.231553710460372,1.037585841588898,178.630310796815,297.61587999092995,3,,43.0
Simple_naive,12,baseline_cv,11.983823676482224,11.40631912785208,372.3268644444444,437.7237405080971,3,50.0,
Simple_seasonalnaive,12,baseline_cv,14.28559743174173,13.181396577538653,444.24440277777785,510.01000855702404,3,50.0,
Simple_autotheta,12,baseline_cv,10.835664798424224,11.962881356777192,328.2268551453055,388.7871504449469,3,50.0,
Simple_autoets,12,baseline_cv,10.533775169495305,12.790125499369024,318.2035281620472,377.52693593924187,3,50.0,
CatBoost_lags_only,12,ml_cv,6.485385553506986,0.9820111842444909,196.41492741135664,347.5180127566095,3,,19.0
CatBoost_lags_calendar,12,ml_cv,6.142959477444209,0.5788398678957571,185.63025435694308,319.72310076718117,3,,25.0
CatBoost_lags_fourier,12,ml_cv,6.428704484139356,0.7095710054160822,194.84770620712416,350.10715113708187,3,,43.0
Simple_naive,18,baseline_cv,13.261716070476155,12.377451634906457,412.2303476034859,482.7679708476217,3,50.0,
Simple_seasonalnaive,18,baseline_cv,16.11105562194663,13.865906337003803,509.25757130718955,586.7581979342528,3,50.0,
Simple_autotheta,18,baseline_cv,12.384043068527077,13.485902689812722,376.41015345893425,443.20526963377546,3,50.0,
Simple_autoets,18,baseline_cv,11.957440766422739,14.567625824726603,363.2214895335504,427.6031038510711,3,50.0,
CatBoost_lags_only,18,ml_cv,6.3228386416175075,0.9202812944238081,202.39054174738632,376.33623799092385,3,,19.0
CatBoost_lags_calendar,18,ml_cv,5.972726427798413,0.5039740742303629,190.94047864820843,347.36992351694835,3,,25.0
CatBoost_lags_fourier,18,ml_cv,6.225144667159593,0.6681877884698297,197.2974351694172,369.7212249170784,3,,43.0
